Name,Media,URL
"Digital Design and Computer Architecture (2nd Edition), Harris & Harris","Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/ScienceDirect_articles_25Feb2022_14-08-47.017.zip, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Chapter-1---From-zero-to-one_2007_Digital-Design-and-Computer-Architecture.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Chapter-2---Combinational-logic-des_2007_Digital-Design-and-Computer-Archite.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Chapter-3---Sequential-logic-desi_2007_Digital-Design-and-Computer-Architect.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Chapter-4---Hardware-description-lan_2007_Digital-Design-and-Computer-Archit.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Chapter-5---Digital-building-bloc_2007_Digital-Design-and-Computer-Architect.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Chapter-6---Architecture_2007_Digital-Design-and-Computer-Architecture.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Chapter-7---Microarchitecture_2007_Digital-Design-and-Computer-Architecture.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Chapter-8---Memory-systems_2007_Digital-Design-and-Computer-Architecture.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Appendix-A---Digital-System-Implemen_2007_Digital-Design-and-Computer-Archit.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Appendix-B---MIPS-Instructions_2007_Digital-Design-and-Computer-Architecture.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Index_2007_Digital-Design-and-Computer-Architecture.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/About-the-authors_2007_Digital-Design-and-Computer-Architecture.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Preface_2007_Digital-Design-and-Computer-Architecture.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/No-title-available_2007_Digital-Design-and-Computer-Architecture.pdf",https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"Introduction to Computing Systems, Patt & Patel","Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/patt-and-patel.zip, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/pp-appendixa.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/pp-appendixc.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/lc3b-figures.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/00_-_TOC.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/01_chapter_1.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/02_chapter_2.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/03_chapter_3.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/04_chapter_4.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/05_chapter_5.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/06_chapter_5.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/07_chapter_7.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/08_chapter_8.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/09_chapter_9.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/10_chapter_10.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/11_chapter_11.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/12_chapter_12.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/13_chapter_13.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/15_chapter_15.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/16_chapter_16.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/17_chapter_17.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/18_chapter_18.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/19_chapter_19.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/A_-_appendix_a.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/B_-_appendix_b.pdf, Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/C_-_appendix_c.pdf",https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Digital Design and Computer Architecture - Reading: Binary Numbers,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/reading-week1_binarynumbers.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"The Structure of Scientific Revolutions, Kuhn",,https://en.wikipedia.org/wiki/The_Structure_of_Scientific_Revolutions
"Numerical Methods for Scientists and Engineers, Hamming",Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/numerical.methods.for.scientists.and.engineers_2ed_hamming_0486652416.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
In-Datacenter Performance Analysis of a Tensor Processing Unit,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/indcperf.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Architecting Phase Change Memory as a Scalabale DRAM Alternative,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/pcm_isca09.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Phase-Change Technology and the Future of Main Memory,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/pcm_ieee_micro10.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"A 20nm 6GB Function-In-Memory DRAM, Based on HBM2 with a 1.2 TFLOPS Programmable Computing Unit Using Bank-Level Parallelism, for Machine Learning Applications",Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/samsung-25.4.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
A Scalable Processing-in-Memory Accelerator for Parallel Graph Processing,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/tesseract-pim-architecture-for-graph-processing_isca15.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"PIM-Enabled Instructions; A Low-Overhead, Locality-Aware Processing-in-Memory Architecture",Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/pim-enabled-instructons-for-low-overhead-pim_isca15.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Google Workloads for Consumer Devices: Mitigating Data Movement Bottlenecks,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Google-consumer-workloads-data-movement-and-PIM_asplos18.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Ambit: In-Memory Accelerator for Bulk Bitwise Operations Using Commodity DRAM Technology,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/ambit-bulk-bitwise-dram_micro17.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
In-DRAM Bulk Bitwise Execution Engine,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/1905.09822.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
SynCron: Efficient Synchronization Support for Near-Data-Processing Architectures,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/SynCron-synchronization-for-near-data-processing-systems_hpca21.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
A Modern Primer on Processing in Memory,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/ModernPrimerOnPIM_springer-emerging-computing-bookchapter21.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Flipping Bits in Memory Without Accessing Them: An Experimental Study of DRAM Disturbance Errors,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/dram-row-hammer_isca14.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Rowhammer.js: A Remote Software-Induced Fault Attack in JavaScript,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/1507.06955v1.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Drammer: Deterministic Rowhammer Attacks on Mobile Platforms,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/drammer.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Grand Pwning Unit: Accelerating Microarchitectural Attacks with the GPU,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/glitch.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Throwhammer: Rowhammer Attacks over the Network and Defenses,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/atc18-tatar.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Nethammer: Inducing Rowhammer Faults through Network Requests,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/1805.04956.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
RAMBleed: Reading Bits in Memory Without Accessing Them,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/20190603-rambleed-web.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Terminal Brain Damage: Exposing the Graceless Degradation in Deep Neural Networks Under Hardware Fault Attacks,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/sec19-hong-2.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
DeepHammer: Depleting the Intelligence of Deep Neural Networks through Targeted Chain of Bit Flips,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/sec20-yao.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
RowHammer: A Retrospective,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/1904.09724.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Revisiting RowHammer: An Experimental Analysis of Modern DRAM Devices and Mitigation Techniques,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/9138944.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
TRRespass: Exploiting the Many Sides of Target Row Refresh,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/rowhammer-TRRespass_ieee_security_privacy20.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Are We Susceptible to Rowhammer? An End-to-End Methodology for Cloud Providers,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/9152654.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
BlockHammer: Preventing RowHammer at Low Cost by Blacklisting Rapidly-Accessed DRAM Rows,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/BlockHammer_preventing-DRAM-rowhammer-at-low-cost_hpca21.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"Nanopore Sequencing Technology and Tools for Genome Assembly: Computational Analysis of the Current State, Bottlenecks and Future Directions",Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/1711.08774.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
